id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,07/04/2025 14:53:06,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=073637c03ff7846ab5cefe7dd24c2bb177b5c1dd887ebd2d4f660e45c9af1f8cd3c121bd8274624c43a2156054f2c8c4c41b2476bc88e407&idProcessoDoc=145639932,True,False,sentencas_tjma\pdfs\00003803020088100053_000_07-04-2025_14-53-06_Sentença.html
1,10/02/2025 18:31:47,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=66d38ad37468a446b5cefe7dd24c2bb177b5c1dd887ebd2d4f660e45c9af1f8cd3c121bd8274624c43a2156054f2c8c4c41b2476bc88e407&idProcessoDoc=140887109,False,False,
2,01/08/2024 18:25:48,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=ada65d5d7fbc7aa532a3f4bb351c254d77b5c1dd887ebd2d4f660e45c9af1f8cd3c121bd8274624c43a2156054f2c8c4c41b2476bc88e407&idProcessoDoc=125589428,False,False,
