id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,01/02/2024 19:38:57,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=ffd936106d87875f2a95cb19dab64f77051c292cc38859fd5139542423e1adf92a1b857a246e8338cd619b7283c54bafa9bbd54de485c708&idProcessoDoc=111102381,True,False,sentencas_tjma\pdfs\00001573220038100060_000_01-02-2024_19-38-57_Sentença.html
1,21/09/2023 16:39:03,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=e954005357cd787043e66c7ec6b010d3c7cb637f705f302d6318116060030156138b573a387d4c9c5415156e9fe623562ff87392e26f1dd2&idProcessoDoc=102052690,False,True,
3,09/06/2023 12:12:16,Termo de Migração (Termo de Migração),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=0dee44fdb5a5ecf543e66c7ec6b010d3c7cb637f705f302d6318116060030156138b573a387d4c9c5415156e9fe623562ff87392e26f1dd2&idProcessoDoc=94243455,False,False,
