id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,01/07/2024 17:02:33,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=f224194447a447b9139457ffb25c67790fc2f36b91daa4b0c64661405ce128df6ba6acbc9138aaf5568f382f44efb3170965d309e7c6d9e5&idProcessoDoc=123125133,True,False,sentencas_tjma\pdfs\08081006620238100060_000_01-07-2024_17-02-33_Sentença.html
1,22/04/2024 14:51:44,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=b54af493ec736b4b27bc971f1e8bd86c0fc2f36b91daa4b0c64661405ce128df6ba6acbc9138aaf5568f382f44efb3170965d309e7c6d9e5&idProcessoDoc=116967073,False,True,
2,11/09/2023 16:30:21,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=914c27f20a78fc5c3f107abe44f2af65965674667273395c85e22f2879810addaa3156b9bf0ac08763368a3299ea7683d83e9547fca71046&idProcessoDoc=101003207,False,False,
