id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,01/04/2025 10:27:58,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=1a20d961205373873cc78deb99827db2c01c4bce3566f182d8ee0d36cde6c0e21d3d5c7caba70b93ad39b89ed6191846ac04c02794612b7a&idProcessoDoc=145033904,True,False,sentencas_tjma\pdfs\00004559820108100053_000_01-04-2025_10-27-58_Sentença.html
1,14/03/2024 04:06:45,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=fd511fc4a9d7f564f07770fbb28c9005c01c4bce3566f182d8ee0d36cde6c0e21d3d5c7caba70b93ad39b89ed6191846ac04c02794612b7a&idProcessoDoc=113816181,False,False,
2,19/04/2023 17:34:26,Termo de Migração (Termo de Migração),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=b0828e2aa44a28dbd96625859abad63a14c613d66013e7674789f8683223c9d09fd283d27024c31849b847e92471b47fcdd9e660901084f7&idProcessoDoc=90397121,False,False,
