id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,10/09/2024 09:32:42,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=834b74a04f590566797672dd583660be5cbdb4751a13070eb138c3b072c23e53b84e087c7d390f46bff62a1a98752535e0ec2f43b6f6f747&idProcessoDoc=128893508,True,False,sentencas_tjma\pdfs\00011372320138100029_000_10-09-2024_09-32-42_Sentença.html
1,30/01/2024 14:03:20,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=3fea30290ae01c75e38786a764bef4015cbdb4751a13070eb138c3b072c23e53b84e087c7d390f46bff62a1a98752535e0ec2f43b6f6f747&idProcessoDoc=110781614,False,False,
2,09/08/2023 15:18:54,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=abbc890db98f83d5f8dc82b3236632e8200790f6aa3eacb99b71fcd5ecf0cfdde20cdac2cdf50699e8d48b3d2031a8a5496d1abe7e1bf6ec&idProcessoDoc=98762941,False,False,
3,09/11/2021 13:02:14,Termo de Migração (Termo de Migração),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=70fccd5d54fcde8cf8dc82b3236632e8200790f6aa3eacb99b71fcd5ecf0cfdde20cdac2cdf50699e8d48b3d2031a8a5496d1abe7e1bf6ec&idProcessoDoc=55920060,False,False,
