id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,04/09/2025 14:14:32,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=6c8e09cd8c8eb73292ff0fcc08984d1b50c1ece07378cd2160c3f16be96538dfe2a57bee28edf08ccac39d771037061b7c45dee4f0e609f1&idProcessoDoc=159316874,True,False,sentencas_tjma\pdfs\08219172020228100001_000_04-09-2025_14-14-32_Sentença.html
1,20/05/2025 15:11:56,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=5d0ba35333b2bcc554e053c5caf26eba50c1ece07378cd2160c3f16be96538dfe2a57bee28edf08ccac39d771037061b7c45dee4f0e609f1&idProcessoDoc=149129569,False,False,
2,28/11/2024 11:11:58,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=eed7f01fc9eb23670139dbdc93040f4250c1ece07378cd2160c3f16be96538dfe2a57bee28edf08ccac39d771037061b7c45dee4f0e609f1&idProcessoDoc=135723069,False,False,
3,26/11/2024 11:20:48,Certidão (Outras) (Certidão (Outras)),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=9f3204581bd87d9e1a139be57ff4769a50c1ece07378cd2160c3f16be96538dfe2a57bee28edf08ccac39d771037061b7c45dee4f0e609f1&idProcessoDoc=135503033,False,False,
4,21/11/2024 13:58:19,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=1c897c9b33c3cda30139dbdc93040f4250c1ece07378cd2160c3f16be96538dfe2a57bee28edf08ccac39d771037061b7c45dee4f0e609f1&idProcessoDoc=135072811,False,True,
6,31/01/2023 12:18:12,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=295de0fac694a8a76c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=84630446,False,True,
8,08/12/2022 14:55:51,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=d721333db4e6047b6c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=81905781,False,True,
9,05/10/2022 09:08:12,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=88c5f4f4dd32d0a86c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=77656388,False,False,
10,02/09/2022 16:56:02,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=fe23ac690c983f4a6c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=74817886,False,False,
11,21/07/2022 17:48:27,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=75564fb42e5883e46c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=72009151,False,True,
12,06/05/2022 16:06:43,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=351f0aaab4882ceb6c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=66318623,False,True,
13,28/04/2022 03:05:32,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=f7d33d5b165e9c966c1490a7bd4aa73efd87499cdd60627f3ac31d1eb69ddde77a4599e0b9851b9fc9603f9d72f9aaf9fe93805d0aa74759&idProcessoDoc=65606765,False,True,
