id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,06/08/2025 11:23:09,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=fc853fb0360470a4c455178f1452caceeecdd9f41a8d27d8932b7a392d49f1c42b9c0bf521167d55033f49b18c429c7cfeed21c1248086ba&idProcessoDoc=156552847,True,False,sentencas_tjma\pdfs\08033748320258100026_000_06-08-2025_11-23-09_Sentença.html
1,30/06/2025 14:12:16,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=12dcf46a1630f18865d816abccac3242eecdd9f41a8d27d8932b7a392d49f1c42b9c0bf521167d55033f49b18c429c7cfeed21c1248086ba&idProcessoDoc=152758024,False,False,
2,14/05/2025 16:36:55,Despacho (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=15a2ee2a515193fcc455178f1452caceeecdd9f41a8d27d8932b7a392d49f1c42b9c0bf521167d55033f49b18c429c7cfeed21c1248086ba&idProcessoDoc=148571239,False,True,
