id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,14/11/2025 12:53:41,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=231e465293534518d1a12522d94cfceb73523134a91ec8737e3344fcb477ddc76a9fd90f8b30e63b6c4a7508a593b496d769b8bfd57db035&idProcessoDoc=165930841,False,False,
1,11/09/2025 08:12:44,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=5e71892d710e7d8e4e99abea71c59d3f73523134a91ec8737e3344fcb477ddc76a9fd90f8b30e63b6c4a7508a593b496d769b8bfd57db035&idProcessoDoc=159915057,False,False,
2,10/04/2025 09:48:42,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=942fbdeafd9be7df79d9c3d14410ec2673523134a91ec8737e3344fcb477ddc76a9fd90f8b30e63b6c4a7508a593b496d769b8bfd57db035&idProcessoDoc=145974210,True,False,sentencas_tjma\pdfs\08006273820188100049_002_10-04-2025_09-48-42_Sentença.html
3,23/09/2024 15:19:01,"Ata de audiência com despacho, decisão ou sentença (Ata de audiência com despacho, decisão ou sentença)",https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=ce13a32f2e4475b74e99abea71c59d3f73523134a91ec8737e3344fcb477ddc76a9fd90f8b30e63b6c4a7508a593b496d769b8bfd57db035&idProcessoDoc=130069289,True,True,"sentencas_tjma\pdfs\08006273820188100049_003_23-09-2024_15-19-01_Ata de audiência com despacho, decisão ou sentença.html"
4,10/04/2024 08:02:45,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=cebb856f3be419ebb0b7ccbec100f04173523134a91ec8737e3344fcb477ddc76a9fd90f8b30e63b6c4a7508a593b496d769b8bfd57db035&idProcessoDoc=116459850,False,True,
5,10/04/2023 07:39:27,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=e3e0acb3b8450274742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=89552643,False,False,
6,30/01/2023 18:46:24,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=c035eefd7ae13a37742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=50195472,False,True,
7,28/01/2021 10:02:27,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=cc3db77353c58314742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=40328279,False,False,
8,17/08/2020 10:38:58,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=3ddb54eff683ece1742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=34469242,False,False,
10,05/08/2019 11:13:40,Ata da Audiência (Ata da Audiência),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=7e53db5adee9fc0c742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=22101008,False,False,
11,19/06/2019 10:10:57,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=5ebd55a8fda4cfc2742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=20752022,False,False,
12,13/08/2018 16:09:26,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=529ef92c00e830fa742eb5868dd3006ae81704327a5695ee46ab81f93107c3cd36765671c398a370ad83fa344840e72a09515b7e6c681e96&idProcessoDoc=13406820,False,True,
