id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,22/10/2025 16:19:26,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=6826709a883293fde69ba07d9374b0e7234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=160840868,True,False,sentencas_tjma\pdfs\00017135020128100029_000_22-10-2025_16-19-26_Sentença.html
1,18/07/2025 08:59:50,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=54ba3deba9e4605d310573002e11b369234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=154766911,False,False,
2,27/05/2025 13:16:44,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=e144a40bf42f792bc51a42a26190fc51234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=149871709,False,False,
4,25/04/2025 13:08:21,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=4ed6e5fd5cea8b40d13b9a083b44fef3234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=146772254,False,False,
5,05/09/2024 16:54:42,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=829ce064b9a8321de69ba07d9374b0e7234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=128546229,False,False,
6,07/05/2024 08:45:33,Certidão (Outras) (Certidão (Outras)),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=d101898f22264d75d694daf9ee927c6d234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=118589856,False,False,
7,06/05/2024 15:56:35,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=5d9fad5ebd52c19e310573002e11b369234090e127a31ae727e2ee27a3d30326911e70bf1431805f9a3ac58ebd5503563d504d0338d6607f&idProcessoDoc=117294618,False,False,
8,03/12/2020 16:46:06,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=0409210ea508030755f78696b180a34f4d4edcf0d6a8cb5c0a83de382e6c3159efe3bfab165fc049cb5fc8fe2905966b529b336e707f83ce&idProcessoDoc=38800499,False,True,
9,11/09/2020 11:27:02,Termo de Migração (Termo de Migração),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=73451b0904b3faf355f78696b180a34f4d4edcf0d6a8cb5c0a83de382e6c3159efe3bfab165fc049cb5fc8fe2905966b529b336e707f83ce&idProcessoDoc=35480507,False,False,
