id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
0,26/02/2024 15:35:09,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=c85882490e4b1d0acfb9a1682b6b1dd4da99c1508433397f8b1c80c280894a356227f5da547924f8ac4a3ef4b926f558f116985bb5f31317&idProcessoDoc=112998918,True,False,sentencas_tjma\pdfs\08083020620238100040_000_26-02-2024_15-35-09_Sentença.html
1,07/02/2024 14:47:46,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=b03e3965ac1f8be7698345b28ec7eda6da99c1508433397f8b1c80c280894a356227f5da547924f8ac4a3ef4b926f558f116985bb5f31317&idProcessoDoc=111608965,False,False,
2,06/02/2024 07:40:31,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=78859b47b68c907bd0693a77194bbc20da99c1508433397f8b1c80c280894a356227f5da547924f8ac4a3ef4b926f558f116985bb5f31317&idProcessoDoc=111405454,False,False,
3,01/02/2024 15:44:55,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=e2ddfb3cef9a4f57f19b78f7e90dc300da99c1508433397f8b1c80c280894a356227f5da547924f8ac4a3ef4b926f558f116985bb5f31317&idProcessoDoc=111121370,False,False,
4,04/12/2023 18:54:59,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=71688498d01fec8d698345b28ec7eda6da99c1508433397f8b1c80c280894a356227f5da547924f8ac4a3ef4b926f558f116985bb5f31317&idProcessoDoc=107913790,False,False,
5,16/10/2023 22:05:54,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=cbe4ae6ccfb0382247464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=103988597,False,False,
6,16/10/2023 10:58:25,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=babf8730c546e27947464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=103906667,False,False,
7,10/10/2023 10:49:03,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=7a234093cf4f2fd847464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=103531580,False,False,
8,06/09/2023 18:57:31,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=8923a0cefe71624a47464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=100940814,False,False,
9,02/08/2023 15:56:35,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=d01244bdadc3e50047464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=98264738,False,False,
10,26/04/2023 17:20:51,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=320aba843a18953a47464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=90814342,False,True,
12,14/04/2023 16:36:45,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=9f6486bb68d7516e47464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=90043711,False,True,
13,11/04/2023 15:04:34,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=09746c58374a403347464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=89720703,False,False,
14,04/04/2023 12:48:58,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=300d972c972bde7547464a325e7254b965df70a5f0647513ebe52fac22d7569c34e1622bb629a8a483a2cd28e0ced8e9a75bef60ba682ff5&idProcessoDoc=89401813,False,False,
